component,role,framework,dimensionality,weight_path,sha256,val_metric,status,public_release
segmentation_LightMUNet,"Deployed segmentation masks, reader/prospective overlays, and decoder-hook feature source",nnU-Net v2 + LightM-UNet (nnUNetTrainerLightMUNet),3D,seg_LightMUNet_weight/checkpoint_best.pth,92af277bff3778f32532bc09f502fc9f591ab7250535aae97124645460c2619a,verified checkpoint,locked/deployed,YES - Google Drive
task1_abnormality,"Task 1 kidney normal/abnormal",MONAI DenseNet121 (spatial_dims=3),3D,02_locked_deployed/task1_best.pt,c37a7ee5f1501aa6442984fc20fb26c21b5bfca16bcf83616b71a77255b9a9e3,"metrics omitted from public release",locked/deployed,YES - Google Drive
task2_malignancy,"Task 2 benign/malignant lesion classification",class LE (LightM-UNet decoder hook + 3D FPN),3D,01_locked_deployed/task2_deployed_Gen2_best.pt,f57e5e637af55ae421ca8d5ac69c35b1b6b90b0a1a8e87f55420a08e95075f58,"deployment threshold 0.586442888, probability >= threshold without rounding",locked/deployed,YES - Google Drive
task3_subtype,"Task 3 ccRCC versus other malignancy",class LE (LightM-UNet decoder hook + 3D FPN),3D,02_locked_deployed/task3_best.pt,0e92d3e2c5a655d013ce91fcbb3bb7543f41e368859a105ff7ee4047863496d7,metrics omitted from public release,locked/deployed,YES - Google Drive
task4_grade,"Task 4 ccRCC versus high/low grade",class LE (LightM-UNet decoder hook + 3D FPN),3D,02_locked_deployed/task4_best.pt,4001630f3c7b90d6b8fc3f264c76560e2508d5ba1cb998fe0cd91f4bb6e4404d,metrics omitted from public release,locked/deployed,YES - Google Drive
cystic_solid_gating,"Standalone deterministic HU-rule gate",Rule-based HU model,3D lesion-volume rule,cystic_solid_gating_gate_v1.0/gate_cystic_solid_cmp.py,no learned checkpoint,"HU_THR=20.0; FRAC=0.5",locked/deployed,YES - repository source
task1_2d_sensitivity,"Task 1 central three-slice sensitivity arm (3 seeds)",torchvision DenseNet121 (2D),2D,sens2D_task1_seed{0,1,2}.pt,see external checksum,sensitivity-only,YES - Google Drive
task2_2d_sensitivity,"Task 2 lesion maximal-section sensitivity arm (3 seeds)",torchvision DenseNet121 (2D),2D,sens2D_task2_seed{0,1,2}.pt,see external checksum,sensitivity-only,YES - Google Drive
task3_allmerged_DO_NOT_USE,"Merged training checkpoint; resubstitution only",class LE,3D,reviewer/repro/fpn_ckpt/task3_FINAL_allmerged.pt,cf7dcbf9336925ef,excluded - never report,NO
task4_allmerged_DO_NOT_USE,"Merged training checkpoint; resubstitution only",class LE,3D,reviewer/repro/fpn_ckpt/task4_FINAL_allmerged.pt,86a17acf06808d67,excluded - never report,NO
